pitch_type,game_date,balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,pitcher_days_since_prev_game,run_diff,runners_on,prev_release_speed,prev_release_spin_rate,prev_pitch_type_FF,prev_pitch_type_FS,prev_pitch_type_SI,prev_pitch_type_SL,stand_L,stand_R,p_throws_R
FS,2025-10-25,-1.1875645649774846,1.0046577896260382,1.2255520542061398,4,0.16914802824501696,-0.3858397532259121,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-0.8279703043903467,-1.278065200293179,False,True,False,False,False,True,True
FS,2025-10-25,-0.11941990038879732,-1.7573469767311387,-1.2534601889308965,5,0.4292437278475621,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-0.9234999194732312,-1.094154247085424,False,True,False,False,True,False,True
FF,2025-10-25,-0.11941990038879732,-0.37634459355255023,-1.2534601889308965,5,0.4292437278475621,-0.3858397532259121,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-1.0190295345561156,-1.0972713818855553,False,True,False,False,True,False,True
FS,2025-10-25,-0.11941990038879732,1.0046577896260382,-1.2534601889308965,5,0.4292437278475621,0.24966101679323716,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.6431857678860745,0.420773265778457,True,False,False,False,True,False,True
FS,2025-10-25,0.9487247641998899,1.0046577896260382,-1.2534601889308965,5,0.4292437278475621,0.8851617868123863,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-0.9999236115395371,-1.0910371122852924,False,True,False,False,True,False,True
FF,2025-10-25,-1.1875645649774846,-0.37634459355255023,-0.013954067362378418,5,0.49426765274819834,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.9297746131347279,0.878992081397779,True,False,False,False,False,True,True
FS,2025-10-25,-1.1875645649774846,1.0046577896260382,-0.013954067362378418,5,0.49426765274819834,-0.3858397532259121,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.101727920283921,0.984974664602248,True,False,False,False,False,True,True
FS,2025-10-25,-0.11941990038879732,1.0046577896260382,-0.013954067362378418,5,0.49426765274819834,0.24966101679323716,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-0.5222755361251148,-0.6172326226653133,False,True,False,False,False,True,True
FS,2025-10-25,-1.1875645649774846,-0.37634459355255023,1.2255520542061398,5,0.5592915776488346,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.9297746131347279,0.878992081397779,True,False,False,False,True,False,True
FF,2025-10-25,-0.11941990038879732,-1.7573469767311387,-0.013954067362378418,6,0.8844112021520161,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,-0.8088643813737683,-1.4869132319019855,False,True,False,False,True,False,True
FF,2025-10-25,-0.11941990038879732,-0.37634459355255023,-0.013954067362378418,6,0.8844112021520161,-0.3858397532259121,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.9297746131347279,0.5579271969842404,True,False,False,False,True,False,True
FF,2025-10-25,-1.1875645649774846,-0.37634459355255023,1.2255520542061398,6,0.9494351270526523,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.0061983052010366,1.2094083702117118,True,False,False,False,False,True,True
FF,2025-10-25,-0.11941990038879732,-1.7573469767311387,-0.013954067362378418,7,1.2745547515558338,-1.0213405232450612,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.9679864591678822,-0.3024020078520376,True,False,False,False,False,True,True
FF,2025-10-25,-0.11941990038879732,-0.37634459355255023,-0.013954067362378418,7,1.2745547515558338,-0.3858397532259121,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.0253042282176124,0.22439377337017613,True,False,False,False,False,True,True
FF,2025-10-25,0.9487247641998899,-0.37634459355255023,-0.013954067362378418,7,1.2745547515558338,0.24966101679323716,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,1.0826219972673425,0.38025051337674826,True,False,False,False,False,True,True
FF,2025-10-25,2.0168694287885773,-0.37634459355255023,-0.013954067362378418,7,1.2745547515558338,0.8851617868123863,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.9870923821844579,0.5485757925838461,True,False,False,False,False,True,True
FF,2025-10-25,2.0168694287885773,1.0046577896260382,-0.013954067362378418,7,1.2745547515558338,1.5206625568315355,-1.0659913446803069,-0.13254973639276357,-0.6716308845415353,0.8915627671015736,0.8447035985963331,True,False,False,False,False,True,True
FS,2025-10-25,-1.1875645649774846,-0.37634459355255023,-0.013954067362378418,7,1.3395786764564699,-1.0213405232450612,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,0.7769272290021133,0.3397277609750395,True,False,False,False,False,True,True
FF,2025-10-25,-0.11941990038879732,-0.37634459355255023,-0.013954067362378418,7,1.3395786764564699,-0.3858397532259121,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,-0.5986992281914235,-0.7606208234713596,False,True,False,False,False,True,True
FS,2025-10-25,-0.11941990038879732,1.0046577896260382,-0.013954067362378418,7,1.3395786764564699,0.24966101679323716,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,1.0061983052010366,0.6732611845891038,True,False,False,False,False,True,True
FS,2025-10-25,0.9487247641998899,1.0046577896260382,-0.013954067362378418,7,1.3395786764564699,0.8851617868123863,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,-0.6178051512079993,-0.9912887986810863,False,True,False,False,False,True,True
FS,2025-10-25,-1.1875645649774846,-0.37634459355255023,1.2255520542061398,7,1.4046026013571062,-1.0213405232450612,-1.0659913446803069,-0.6074428114244171,-0.6716308845415353,1.1399397663170725,0.7449552849921269,True,False,False,False,True,False,True
